Daniel Rich (BRL), BRL,DEF, ,21,0,0,0,0,99,89,56,51,85,83,110,0,111,57,119,92,60,65,45,76,99,64,502800,502800,502800,502800,502800,502800,502800,462000,446700,413800,388600,382300,403000,403000,429700,436300,445000,443300,443000,418800,379800,358500,357700,
Nick Robertson (BRL), BRL,DEF, ,98,61,56,54,82,75,0,52,61,62,47,70,0,62,77,55,63,71,54,50,31,52,60,335900,335900,335900,342800,329100,328800,336000,336000,339000,331600,320900,310900,306700,306700,303700,313900,314600,315900,313800,311900,304400,281100,263000,
Mitch Robinson (BRL), BRL,MID, FWD,83,0,103,94,102,130,100,76,73,172,85,0,0,0,83,47,86,34,79,120,91,97,84,406400,406400,406400,406400,425000,447600,474800,496500,499600,476100,491800,507400,507400,507400,507400,520400,474200,441500,395400,376100,376700,402300,428400,
Sam Skinner (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,
Archie Smith (BRL), BRL,RUC, FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,
Brandon Starcevich (BRL), BRL,FWD, MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,45,63,54,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,163900,
Lewis Taylor (BRL), BRL,FWD, ,94,85,59,72,61,64,107,37,52,77,70,67,0,91,98,52,62,54,93,40,72,101,81,437800,437800,437800,427900,412100,389900,374600,378300,369400,357300,335600,334600,339600,339600,349600,368300,375100,367600,342200,341900,331500,331700,335100,
Josh Walker (BRL), BRL,DEF, FWD,34,35,22,44,0,0,0,0,0,0,0,0,0,97,88,74,100,73,78,123,82,95,109,334400,334400,334400,286100,255900,255900,255900,255900,255900,255900,255900,255900,255900,255900,259500,290600,326600,354500,367700,379200,397200,414100,433400,
Alex Witherden (BRL), BRL,DEF, ,89,77,91,103,125,92,43,83,66,42,78,117,0,64,86,105,94,131,73,78,110,13,85,478900,478900,478900,466500,465200,486200,500400,483000,450400,414700,388800,367600,374000,374000,388500,401500,405500,422200,453800,462700,461400,451000,416300,
Toby Wooller (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,
Dayne Zorko (BRL), BRL,MID, ,32,105,92,82,37,46,164,121,121,99,103,110,0,90,97,129,99,106,118,142,66,80,99,608900,608900,608900,549300,529700,485100,430100,425700,459000,516500,530400,532500,527700,527700,520300,510700,512100,517600,525100,525700,544600,540300,519700,
Ciaran Byrne (CAR), CAR,DEF, ,48,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,52,71,101,64,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,231800,235100,245300,277300,
