Liam Dawson (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,30,40,38,0,28,36,42,29,29,42,40,36,44,36,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,138700,138700,148600,154100,159800,164500,164800,165000,170100,176900,182800,185300
Matthew Eagles (BRL), BRL,DEF, ,0,0,0,0,0,0,48,42,46,45,45,45,0,45,45,45,46,45,45,45,46,45,45,123900,123900,123900,123900,123900,123900,123900,123900,123900,151200,184800,195300,195300,202900,208400,212500,215900,218400,220200,221100,222200,223000,223600
Jack Frost (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,42,44,45,0,42,47,40,40,40,36,44,41,38,47,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,150900,168700,168700,181700,192600,198300,201500,200700,198400,198500,199000,200300,202600
Darcy Gardiner (BRL), BRL,DEF, ,57,58,89,64,56,80,60,61,70,48,71,64,0,70,83,72,66,62,75,71,58,62,83,324100,324100,324100,329200,337200,342500,341100,337600,336600,331200,319400,315000,315000,321600,331700,342800,349100,344300,342100,342800,341500,334700,335100
Cian *** Hanley (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,24,23,24,0,24,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117400,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Mitchell Hinge (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,25,25,25,0,25,25,25,25,25,25,25,25,25,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124000,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100
Eric Hipwood (BRL), BRL,FWD, ,39,65,76,19,42,26,41,45,95,39,50,51,0,52,46,46,57,47,44,50,43,69,52,269100,269100,269100,278100,276600,265400,233800,220100,210900,234800,265700,256600,256600,255700,253200,249200,248600,248600,247700,243900,239300,247100,253700
Luke Hodge (BRL), BRL,DEF, ,93,62,68,84,92,0,77,40,79,78,72,60,0,60,87,71,76,71,76,81,74,73,73,461800,461800,461800,438700,419100,418500,418500,419900,400300,379900,369100,363300,363300,351000,348800,352100,361600,361500,363600,367400,371500,373100,370700
Ben Keays (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,66,64,66,0,65,54,55,64,65,59,64,64,61,59,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,378200,363700,363700,352700,340200,326200,315500,312600,312300,312100,311400,311800,309800
Ryan Lester (BRL), BRL,MID, FWD,88,56,55,0,59,30,0,0,0,59,53,63,0,55,56,69,61,58,43,51,52,64,50,434100,434100,434100,407600,407600,376800,341200,341200,341200,341200,293700,292700,292700,290200,289700,291900,296200,300300,291600,280800,270300,271900,272700
Corey Lyons (BRL), BRL,MID, ,0,0,0,0,0,0,0,0,0,25,25,25,0,25,25,25,25,25,25,25,25,25,25,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,123900,124000,124000,124100,124100,124100,124100,124100,124100,124100,124100,124100,124100
Stefan Martin (BRL), BRL,RUC, ,111,63,154,94,97,92,114,112,79,96,96,107,0,102,92,97,106,104,102,98,89,102,122,540000,540000,540000,543200,539600,552800,532700,525900,526400,520600,492300,493000,493000,496300,496800,492700,491600,496200,501700,502200,495900,491200,498500
Rhys Mathieson (BRL), BRL,MID, FWD,0,97,44,62,0,0,0,0,0,71,70,72,0,88,68,69,66,74,77,70,66,71,59,400100,400100,400100,400100,385800,385800,385800,385800,385800,385800,354100,353800,353800,361100,365500,367400,359000,355500,356500,359000,357300,353400,345600
Sam Mayes (BRL), BRL,DEF, ,74,45,81,28,0,0,0,0,0,51,51,58,0,60,56,63,50,55,59,59,50,65,63,441400,441400,441400,413500,373600,373600,373600,373600,373600,373600,309500,297500,297500,292800,291500,292800,289300,286300,282400,283500,282100,283700,286600
Hugh McCluggage (BRL), BRL,MID, FWD,48,86,81,48,96,65,53,70,130,87,81,85,0,92,87,100,99,77,83,81,77,94,83,297800,297800,297800,314900,328500,343300,345700,349100,339200,360700,419000,419000,419000,421300,425500,435300,445600,448600,443300,431400,422700,421300,421100
Oscar McInerney (BRL), BRL,RUC, ,0,0,0,0,0,54,65,81,65,66,66,66,0,63,66,66,66,66,66,66,66,66,66,123900,123900,123900,123900,123900,123900,123900,123900,179900,225600,277400,291000,291000,299600,305800,310400,315100,318500,321000,322900,324200,325200,325900
Daniel McStay (BRL), BRL,DEF, ,50,58,0,0,36,35,67,69,37,39,44,44,0,45,50,64,45,42,40,39,52,43,50,333600,333600,333600,333600,333600,310600,285900,271200,274600,277800,249200,238700,238700,233800,232800,241000,247000,247800,237700,227600,224700,223900,228300
Marco Paparone (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,60,57,59,0,62,51,55,48,50,53,54,57,56,56,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,309200,304400,304400,301800,297300,292100,282100,274400,267900,265800,267400,269900,272600
Jack Payne (BRL), BRL,DEF, ,0,0,0,0,0,0,0,0,0,24,23,24,0,24,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117400,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Cameron Rayner (BRL), BRL,FWD, MID,38,20,63,97,60,52,73,36,55,55,55,55,0,54,55,55,55,55,55,55,60,57,55,202800,202800,202800,203000,230300,268600,290900,295900,288200,283700,272600,272700,272700,272400,272100,271900,272200,272400,272600,272700,275100,277700,279600
Daniel Rich (BRL), BRL,DEF, ,21,0,0,0,0,99,89,56,51,66,67,56,0,51,64,64,61,72,61,57,69,57,59,502800,502800,502800,502800,502800,502800,502800,462000,446700,413800,359300,346800,346800,331000,318100,312300,312500,316200,317500,316700,314800,311600,310200
Nick Robertson (BRL), BRL,DEF, ,98,61,56,54,82,75,0,52,61,65,52,63,0,74,80,64,53,59,50,52,69,61,76,335900,335900,335900,342800,329100,328800,336000,336000,339000,331600,314400,310000,310000,310800,323900,333900,331800,320900,306700,295900,292500,294900,307400
Mitch Robinson (BRL), BRL,MID, FWD,83,0,103,94,102,130,100,76,73,111,95,96,0,90,97,132,95,101,109,105,91,96,96,406400,406400,406400,406400,425000,447600,474800,496500,499600,476100,463300,473200,473200,471000,470300,485900,499600,511400,509700,512900,510800,503500,494100
Sam Skinner (BRL), BRL,DEF, FWD,0,0,0,0,0,0,0,0,0,62,62,62,0,62,62,62,62,62,62,62,62,62,62,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,238600,257300,257300,271000,281000,288300,293600,297500,300300,302300,303800,305000,305800
Archie Smith (BRL), BRL,RUC, FWD,0,0,0,0,0,0,0,0,0,41,41,40,0,38,43,37,41,42,34,41,46,41,41,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,224300,218300,218300,212500,209200,205500,204200,202700,200300,198500,199000,202500,205000
Brandon Starcevich (BRL), BRL,FWD, MID,0,0,0,0,0,0,0,0,0,25,26,25,0,25,26,25,25,26,25,25,26,25,25,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126300,126100,126100,126000,125900,125800,125800,125800,125800,125800,125800,125800,125800
Lewis Taylor (BRL), BRL,FWD, ,94,85,59,72,61,64,107,37,52,52,67,63,0,65,69,59,53,66,60,70,63,57,72,437800,437800,437800,427900,412100,389900,374600,378300,369400,357300,312900,309800,309800,313300,316700,317400,312700,307900,304800,310100,312700,313200,314500
Josh Walker (BRL), BRL,DEF, FWD,34,35,22,44,0,0,0,0,0,38,39,45,0,37,41,42,43,41,30,48,39,48,50,334400,334400,334400,286100,255900,255900,255900,255900,255900,255900,224500,218500,218500,213600,211000,207700,207900,208100,202900,201300,199300,205800,211500
Alex Witherden (BRL), BRL,DEF, ,89,77,91,103,125,92,43,83,66,82,86,83,0,79,82,82,77,82,78,86,71,92,86,478900,478900,478900,466500,465200,486200,500400,483000,450400,414700,401100,405000,405000,406500,405900,405000,403400,402300,399600,401700,398300,402100,404900
Toby Wooller (BRL), BRL,FWD, ,0,0,0,0,0,0,0,0,0,24,23,24,0,24,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117400,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Dayne Zorko (BRL), BRL,MID, ,32,105,92,82,37,46,164,121,121,104,87,98,0,85,101,113,100,106,96,103,115,95,94,608900,608900,608900,549300,529700,485100,430100,425700,459000,516500,527600,514400,514400,496300,489200,490800,498700,506700,504900,504900,508900,511400,509200
Ciaran Byrne (CAR), CAR,DEF, ,48,53,0,0,0,0,0,0,0,48,42,0,50,48,44,44,44,55,48,47,50,48,48,229300,229300,229300,229300,229300,229300,229300,229300,229300,229300,234700,234700,234000,233400,233900,231500,228000,230400,233900,237800,238400,238800,239600
Levi Casboult (CAR), CAR,FWD, ,78,43,104,53,61,75,50,0,0,70,70,0,62,80,71,88,61,61,64,63,62,62,69,364600,364600,364600,368300,361000,364000,352000,341200,341200,341200,330400,330400,331500,336800,341100,355800,358000,355200,342500,334100,328400,323400,322400
Patrick Cripps (CAR), CAR,MID, ,130,115,92,92,151,143,94,111,152,112,138,0,128,128,145,135,146,122,128,120,128,127,131,537300,537300,537300,545200,535700,545400,573500,593900,589600,590100,616500,616500,619100,628000,637700,647900,663400,664500,662100,648800,641800,636200,637000
David Cuningham (CAR), CAR,MID, FWD,0,75,73,48,0,0,0,0,0,45,54,0,55,56,54,51,54,54,50,59,55,54,53,333300,333300,333300,333300,333500,333500,333500,333500,333500,333500,297700,297700,286200,282700,280100,276400,272800,270200,267900,268400,269200,271600,270700
Charlie Curnow (CAR), CAR,FWD, ,126,96,86,73,86,78,0,79,0,87,69,0,76,77,81,92,76,89,78,75,76,84,83,408100,408100,408100,437400,436600,431900,423300,423300,417900,417900,407300,407300,401100,392000,390800,397000,401100,407700,406300,404800,397900,395500,397400
Ed Curnow (CAR), CAR,MID, ,95,148,86,126,126,86,136,118,0,113,125,0,133,120,123,113,110,115,120,116,133,108,119,473200,473200,473200,494600,525900,539500,547600,557000,559000,559000,576800,576800,586900,597500,604300,600300,592900,583900,580500,580700,588900,589500,591300
Tom De Koning (CAR), CAR,RUC, FWD,0,0,0,0,0,0,0,0,0,24,23,0,24,24,23,24,24,23,24,24,23,24,24,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117300,117400,117500,117600,117600,117600,117600,117600,117600,117600,117600,117600
Sam Docherty (CAR), CAR,DEF, ,0,0,0,0,0,0,0,0,0,97,95,0,93,96,97,93,110,94,109,106,93,97,96,630700,630700,630700,630700,630700,630700,630700,630700,630700,630700,630700,630700,587900,556200,533900,517700,512000,506600,509800,510300,510200,504800,496400
Paddy Dow (CAR), CAR,MID, ,35,46,49,41,70,59,74,60,51,63,63,0,63,61,63,63,63,63,60,63,63,64,69,193800,193800,193800,200400,208600,225700,241900,268100,282200,288700,289800,289800,296000,299700,302300,304300,306600,308300,308200,308200,308200,309900,313800
Zac Fisher (CAR), CAR,FWD, ,93,110,76,45,117,87,55,75,82,79,88,0,90,81,85,70,79,94,83,87,90,85,72,263600,263600,263600,318400,338200,356200,373100,389300,381500,373300,387300,387300,397600,406100,410900,405500,400600,401100,407200,415300,419400,423300,419400
Jarrod Garlett (CAR), CAR,FWD, MID,61,36,64,71,21,0,48,35,27,50,49,0,39,45,36,30,42,40,38,50,39,38,41,117300,117300,117300,158200,193300,212500,212500,218400,206000,199600,199300,199300,207200,210700,207500,201100,195100,192500,194200,199000,202000,204200,201800
