
DEF
Dan Hannebery (SYD)
Isaac Heeney (SYD)
George Hewett (SYD)
Kieren Jack (SYD)
Zak Jones (SYD)
Josh P. Kennedy (SYD)
Nicholas Newman (SYD)
Tom Papley (SYD)
Luke Parker (SYD)
Angus Styles (SYD)
Marcus Bontempelli (WBD)
Luke Dahlhaus (WBD)
Bailey Dale (WBD)
Caleb Daniel (WBD)
Lachie Hunter (WBD)
Lin Jong (WBD)
Tom Liberatore (WBD)
Patrick Lipinski (WBD)
Jack Macrae (WBD)
Toby McLean (WBD)
Callum Porter (WBD)
Mitch Wallis (WBD)
Lukas Webb (WBD)
Brendon Ah Chee (WCE)
Brayden Ainsworth (WCE)
Tarir Bayok (WCE)
Hamish Brayshaw (WCE)
Callan England (WCE)
Andrew Gaff (WCE)
Mark Hutchings (WCE)
Lewis Jetta (WCE)
Chris Masten (WCE)
Jack Petruccelle (WCE)
Jack Redden (WCE)
Dominic Sheed (WCE)
Luke Shuey (WCE)

RUC
Paul Hunter (ADE)
Sam Jacobs (ADE)
Reilly O'Brien (ADE)
Stefan Martin (BRL)
Oscar McInerney (BRL)
Archie Smith (BRL)
Tom De Koning (CAR)
Matthew Kreuzer (CAR)
Matthew Lobbe (CAR)
Andrew Phillips (CAR)
Mason Cox (COL)
Brodie Grundy (COL)
Max Lynch (COL)
Tom Bellchambers (ESS)
Sam Draper (ESS)
Luke Lavender (ESS)
Matthew Leuenberger (ESS)
Shaun McKernan (ESS)
Sean Darcy (FRE)
Scott Jones (FRE)
Lloyd Meek (FRE)
Aaron Sandilands (FRE)
Luke Strnadica (FRE)
Brayden Crossley (GCS)
Tom Nicholls (GCS)
Jarrod Witts (GCS)
Ryan Abbott (GEE)
Wylie Buzza (GEE)
Zac Smith (GEE)
Rhys Stanley (GEE)
Matthew Flynn (GWS)
Dawson Simpson (GWS)
Jonathon Ceglar (HAW)
Ben McEvoy (HAW)
Marc Pittonet (HAW)
Lachlan Filipovic (MEL)
Max Gawn (MEL)
Mitchell King (MEL)
Cameron Pedersen (MEL)
Majak Daw (NTH)
Todd Goldstein (NTH)
Tom Jeffries (NTH)
Braydon Preuss (NTH)
Tristan Xerri (NTH)
William Frampton (PTA)
Sam Hayes (PTA)
Patrick Ryder (PTA)
Noah Balta (RIC)
Callum Coleman-Jones (RIC)
Shaun Hampson (RIC)
Ben Miller (RIC)
Toby Nankervis (RIC)
Ivan Soldo (RIC)
Tom Hickey (STK)
Billy Longer (STK)
Lewis Pierce (STK)
Joel Amartey (SYD)
Darcy Cameron (SYD)
Sam Naismith (SYD)
Callum Sinclair (SYD)
Kurt *** Tippett (SYD)
Tom Boyd (WBD)
Tom Campbell (WBD)
Timothy English (WBD)
Jordan Roughead (WBD)
Scott Lycett (WCE)
Fraser McInnes (WCE)
Nic Naitanui (WCE)
Tony Olango (WCE)
Nathan Vardy (WCE)

FWD
Eddie Betts (ADE)
Ben Davis (ADE)
Harry Dear (ADE)
Darcy Fogarty (ADE)
Jordan Gallucci (ADE)
Elliott Himmelberg (ADE)
Ben Jarman (ADE)
Josh Jenkins (ADE)
Riley Knight (ADE)
Tom Lynch (ADE)
Mitchell McGovern (ADE)
Wayne Milera (ADE)
Andy Otten (ADE)
Myles Poholke (ADE)
Matthew Signorello (ADE)
Taylor Walker (ADE)
Patrick Wilson (ADE)
Connor Ballenden (BRL)
Jake Barrett (BRL)
Tom Bell (BRL)
Rohan Bewick (BRL)
Charlie Cameron (BRL)
Allen Christensen (BRL)
Liam Dawson (BRL)
Eric Hipwood (BRL)
Ben Keays (BRL)
Ryan Lester (BRL)
Rhys Mathieson (BRL)
Hugh McCluggage (BRL)
Cameron Rayner (BRL)
Mitch Robinson (BRL)
Sam Skinner (BRL)
Archie Smith (BRL)
Brandon Starcevich (BRL)
Lewis Taylor (BRL)
Josh Walker (BRL)
Toby Wooller (BRL)
Levi Casboult (CAR)
David Cuningham (CAR)
Charlie Curnow (CAR)
Tom De Koning (CAR)
Zac Fisher (CAR)
Jarrod Garlett (CAR)
Nick Graham (CAR)
Pat Kerr (CAR)
Jed Lamb (CAR)
Darcy Lang (CAR)
Kym Lebois (CAR)
Harry McKay (CAR)
Sam Petrevski-Seton (CAR)
Jarrod Pickett (CAR)
Cameron Polson (CAR)
Jack Silvagni (CAR)
Dale Thomas (CAR)
Matthew Wright (CAR)
Jarryd Blair (COL)
Callum Brown (COL)
Tyler Brown (COL)
Mason Cox (COL)
Benjamin Crocker (COL)
Josh Daicos (COL)
Jordan de Goey (COL)
Jamie Elliott (COL)
Alex Fasolo (COL)
Levi Greenwood (COL)
Kayle Kirby (COL)
Max Lynch (COL)
Chris Mayne (COL)
Darcy Moore (COL)
Nathan Murphy (COL)
Ben Reid (COL)
Jaidyn Stephenson (COL)
Josh Thomas (COL)
Travis Varcoe (COL)
Daniel Wells (COL)
Joshua Begley (ESS)
Dylan Clarke (ESS)
Travis Colyer (ESS)
Joe Daniher (ESS)
Orazio Fantasia (ESS)
Aaron Francis (ESS)
Josh Green (ESS)
Matt Guelfi (ESS)
Cale Hooker (ESS)
Jordan Houlahan (ESS)
Kyle Langford (ESS)
Jayden Laverde (ESS)
Anthony McDonald-Tipungwuti (ESS)
Shaun McKernan (ESS)
Jackson Merrett (ESS)
Darcy Parish (ESS)
Devon Smith (ESS)
James Stewart (ESS)
Jake Stringer (ESS)
Brandon Zerk-Thatcher (ESS)
Michael Apeness (FRE)
Hayden Ballantyne (FRE)
Harley Bennell (FRE)
Brennan Cox (FRE)
Mitch Crowden (FRE)
Hugh Dixon (FRE)
Brady Grey (FRE)
Shane Kersten (FRE)
Ed Langdon (FRE)
Brandon Matera (FRE)
Cameron McCarthy (FRE)
David Mundy (FRE)
Ryan Nyhuis (FRE)
